nomor_perkara,tgl_register,klasifikasi,jenis_perkara,metode,hakim,anggota1,anggota2,pp,js,tgl_sidang,tgl_sidang_override,__id
1 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H","Drs. Sohel,S.H.","Ahmad Bisri, S.H., M.H",Rini,"Winahya Vembriarsi, A.Md.",2025-01-13,0,c327d605-3ad8-44ab-b7af-cb4c3634f76c
21 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",5,Fahat,Ikbal,Umi Nurulia,2025-01-13,0,a03f43f1-d0c6-4744-9bfd-20a89d57889d
2 Pdt.P,2025-01-02,Dispensasi,E-Court,e-court,"Ahmad Bisri, S.H., M.H",31,,Inayatus,"Evi Setyowati, S.Sos.",2025-01-14,0,bade0a03-f85a-4127-b807-a96af67e22b1
3 Pdt.P,2025-01-02,Dispensasi,E-Court,e-court,"Ahmad Bisri, S.H., M.H",44,,Widya,"Evi Setyowati, S.Sos.",2025-01-14,0,6e825bd4-91cf-433a-822c-3be73cff58e6
23 Pdt.G,2025-01-02,CT,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,29012f8b-4dfb-4d95-8c38-c07ff59e741e
24 Pdt.G,2025-01-02,ISTBAT,E-Court,e-court,"Dra. Mulathifah, M.H.",,,Taufik,"Rina Marlina, SE",2025-02-04,0,4cf4b618-fbf6-4cdd-81d2-43a718033708
4 Pdt.P,2025-01-02,Perwalian,E-Court,e-court,"Drs. Agus Abdullah, M.H.",,,Imron,"Monika Septi Indriyani, A.Md., S.H.",2025-01-15,0,948998ff-65fc-4e28-b78e-302cfbace63f
25 Pdt.G,2025-01-02,CG,E-Court,e-court,Drs. H. Syakhrani,,,Suji,Sanjaya Langgeng Santoso,2025-01-16,0,b4edc075-2c14-4c77-b9e9-d7b2f78f55ef
26 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Ifdal, S.H.",,,Zamzam,"Irvan Riditya Fauzi, A.Md.",2025-05-08,0,e6a17964-85b4-48bc-8abd-e6c645be7738
27 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dra. St. Nadirah, S.H., M.H",,,Neneng,"Winahya Vembriarsi, A.Md.",2025-01-13,0,56f8b119-4c38-40fd-abfe-9cf1ce500a74
28 Pdt.G,2025-01-02,CG,E-Court,e-court,"Drs. Jajat Sudrajat, S.H., M.H",,,Syaifurohim,Umi Nurulia,2025-01-13,0,a523a5d6-971a-45c6-beee-6c8a81fa5ddf
29 Pdt.G,2025-01-02,CG,E-Court,e-court,"Ahmad Bisri, S.H., M.H",,,Inayatus,"Evi Setyowati, S.Sos.",2025-01-14,0,e46dac3c-0f3d-40e3-b72d-5823f6b25374
30 Pdt.G,2025-01-02,CT,E-Court,e-court,"Drs. Zaenal Musthofa, S.H., M.H.",,,Alfiah,Sanjaya Langgeng Santoso,2025-01-14,0,eb660ca8-a07d-48f6-995a-1e6e701ec31c
31 Pdt.G,2025-01-02,CG,E-Court,e-court,"Dra. Taslimah, M.H.",,,Noni,"Sri Maryati, A.Md",2025-01-14,0,feeb6d35-cedc-4a03-8b01-71d9317b7957
